운행일자,요일,월,주운행선,운행거리_km,수송품목,화물중량_톤,상하,출발시간대,공차회송여부,결합배송여부,장마철여부,동절기여부,운휴_지연위험_실현
2026-02-02,월,2,경부선,377.3,컨테이너,7.8,하,오후(12-18),0,0,0,1,0
2026-10-10,토,10,전라선,282.3,컨테이너,6.0,상,새벽(00-06),0,1,0,0,0
2026-08-27,목,8,장항선,186.2,컨테이너,10.6,상,새벽(00-06),0,1,1,0,0
2026-06-10,수,6,경부선,271.1,시멘트,14.1,하,오후(12-18),0,0,1,0,1
2026-06-08,월,6,경부선,391.1,석탄,19.5,상,오전(06-12),0,0,1,0,0
2026-11-10,화,11,중앙선,157.7,컨테이너,4.8,상,오전(06-12),0,0,0,0,1
2026-02-01,일,2,장항선,186.4,컨테이너,11.8,상,야간(18-24),0,0,0,1,0
2026-09-12,토,9,전라선,221.7,시멘트,19.1,하,오전(06-12),0,0,0,0,0
2026-03-15,일,3,전라선,216.5,시멘트,4.9,상,오전(06-12),0,0,0,0,0
2026-02-04,수,2,중앙선,220.1,컨테이너,19.6,상,새벽(00-06),0,0,0,1,0
2026-07-12,일,7,경부선,330.0,컨테이너,9.4,하,오전(06-12),1,0,1,0,1
2026-12-23,수,12,충북선,174.1,유류,16.3,상,새벽(00-06),0,0,0,1,1
2026-09-26,토,9,경부선,287.6,기타,10.7,상,야간(18-24),0,0,0,0,0
2026-10-05,월,10,전라선,224.2,시멘트,14.8,하,야간(18-24),0,0,0,0,0
2026-09-19,토,9,경부선,289.4,석탄,21.7,하,오전(06-12),0,1,0,0,1
2026-10-14,수,10,경부선,312.2,유류,11.3,상,새벽(00-06),0,0,0,0,0
2026-07-07,화,7,충북선,158.3,컨테이너,18.0,하,새벽(00-06),1,0,1,0,0
2026-02-16,월,2,중앙선,257.9,광석,13.6,상,오후(12-18),1,0,0,1,0
2026-11-03,화,11,충북선,154.8,시멘트,7.3,하,야간(18-24),0,1,0,0,0
2026-06-14,일,6,중앙선,118.9,시멘트,11.1,상,오전(06-12),0,1,1,0,1
2026-07-02,목,7,부산신항선,14.8,시멘트,10.8,상,야간(18-24),0,0,1,0,0
2026-05-16,토,5,태백선,144.5,컨테이너,3.5,상,새벽(00-06),0,1,0,0,0
2026-03-08,일,3,부산신항선,10.2,철강,14.8,하,오후(12-18),1,0,0,0,1
2026-12-05,토,12,충북선,150.4,철강,15.9,상,새벽(00-06),1,0,0,1,0
2026-10-13,화,10,충북선,137.6,컨테이너,16.9,상,오후(12-18),0,0,0,0,0
2026-08-24,월,8,충북선,209.8,시멘트,20.6,상,오후(12-18),1,1,1,0,0
2026-05-27,수,5,중앙선,195.1,기타,17.7,상,오후(12-18),0,1,0,0,0
2026-10-28,수,10,중앙선,132.5,유류,8.4,상,야간(18-24),0,0,0,0,0
2026-07-19,일,7,충북선,169.5,석탄,9.7,하,새벽(00-06),0,0,1,0,1
2026-06-11,목,6,경부선,368.4,컨테이너,17.0,하,새벽(00-06),0,0,1,0,0
2026-06-14,일,6,경부선,326.5,시멘트,14.3,상,오후(12-18),0,0,1,0,1
2026-03-24,화,3,태백선,117.5,컨테이너,11.9,하,오후(12-18),0,1,0,0,0
2026-02-03,화,2,경부선,280.6,유류,6.8,하,야간(18-24),0,1,0,1,1
2026-07-22,수,7,충북선,138.4,철강,8.8,상,야간(18-24),0,0,1,0,0
2026-11-21,토,11,충북선,199.3,광석,15.5,상,오전(06-12),1,0,0,0,0
2026-01-24,토,1,경부선,317.3,컨테이너,1.0,하,오전(06-12),0,1,0,1,1
2026-11-10,화,11,부산신항선,5.6,기타,1.0,하,오후(12-18),0,0,0,0,0
2026-10-30,금,10,경부선,335.6,기타,16.2,상,새벽(00-06),0,0,0,0,0
2026-04-12,일,4,부산신항선,11.0,석탄,8.8,하,오전(06-12),1,1,0,0,0
2026-08-19,수,8,장항선,170.6,유류,14.8,하,새벽(00-06),0,0,1,0,0
2026-03-02,월,3,경부선,279.4,시멘트,21.5,상,새벽(00-06),0,0,0,0,0
2026-10-04,일,10,경부선,277.6,컨테이너,5.9,하,야간(18-24),0,0,0,0,0
2026-09-13,일,9,중앙선,231.3,컨테이너,2.0,상,오전(06-12),1,0,0,0,1
2026-05-10,일,5,중앙선,202.0,컨테이너,10.3,하,야간(18-24),0,0,0,0,0
2026-01-25,일,1,경부선,339.3,컨테이너,7.9,하,야간(18-24),0,0,0,1,0
2026-12-21,월,12,영동선,113.5,석탄,11.8,상,야간(18-24),0,0,0,1,0
2026-06-12,금,6,경부선,333.3,컨테이너,15.2,하,야간(18-24),1,1,1,0,0
2026-11-22,일,11,태백선,126.1,컨테이너,14.0,하,새벽(00-06),0,1,0,0,1
2026-09-05,토,9,경부선,312.0,컨테이너,12.3,상,새벽(00-06),0,1,0,0,0
2026-10-12,월,10,영동선,127.3,석탄,18.3,상,오후(12-18),0,0,0,0,0
2026-10-05,월,10,경부선,376.8,광석,16.0,상,오전(06-12),0,0,0,0,1
2026-03-13,금,3,중앙선,150.5,시멘트,10.9,상,오전(06-12),0,0,0,0,1
2026-05-13,수,5,충북선,156.1,철강,15.8,하,야간(18-24),0,0,0,0,0
2026-06-20,토,6,경부선,353.8,기타,2.7,하,오후(12-18),1,0,1,0,0
2026-07-01,수,7,태백선,173.1,석탄,18.4,하,새벽(00-06),0,0,1,0,0
2026-01-16,금,1,경부선,391.5,철강,12.1,상,오후(12-18),0,0,0,1,0
2026-07-19,일,7,충북선,141.4,석탄,4.8,하,야간(18-24),0,1,1,0,0
2026-02-26,목,2,충북선,193.2,기타,9.5,상,야간(18-24),0,1,0,1,0
2026-09-29,화,9,충북선,162.8,컨테이너,18.2,하,오후(12-18),0,0,0,0,0
2026-09-07,월,9,경부선,362.0,철강,7.4,하,새벽(00-06),0,0,0,0,0
2026-12-03,목,12,경부선,351.7,시멘트,14.5,상,야간(18-24),1,1,0,1,1
2026-09-29,화,9,경부선,269.6,컨테이너,17.3,하,오후(12-18),0,1,0,0,0
2026-05-14,목,5,중앙선,212.5,철강,12.1,상,오전(06-12),1,0,0,0,1
2026-12-20,일,12,경부선,360.4,유류,6.8,하,야간(18-24),0,1,0,1,0
2026-05-30,토,5,호남선,207.7,유류,11.6,하,오전(06-12),0,0,0,0,0
2026-04-29,수,4,충북선,155.1,광석,3.5,하,야간(18-24),0,0,0,0,0
2026-11-27,금,11,충북선,122.0,철강,9.1,상,야간(18-24),0,0,0,0,1
2026-05-16,토,5,중앙선,217.2,시멘트,5.4,상,새벽(00-06),0,0,0,0,0
2026-01-28,수,1,경부선,328.5,광석,11.7,상,오전(06-12),0,0,0,1,0
2026-06-21,일,6,충북선,138.2,컨테이너,4.4,하,새벽(00-06),0,1,1,0,1
2026-10-18,일,10,중앙선,181.9,컨테이너,12.5,상,오전(06-12),0,1,0,0,1
2026-03-11,수,3,중앙선,198.7,시멘트,18.8,하,새벽(00-06),0,0,0,0,0
2026-06-18,목,6,중앙선,173.7,시멘트,19.2,하,오전(06-12),0,0,1,0,1
2026-02-17,화,2,충북선,161.4,석탄,4.5,상,새벽(00-06),0,0,0,1,0
2026-09-08,화,9,영동선,83.6,유류,8.0,하,야간(18-24),0,0,0,0,0
2026-06-23,화,6,경부선,374.2,컨테이너,17.1,상,새벽(00-06),0,0,1,0,0
2026-05-01,금,5,중앙선,193.9,철강,16.2,하,새벽(00-06),0,0,0,0,0
2026-03-24,화,3,경부선,276.2,시멘트,8.3,상,새벽(00-06),1,1,0,0,1
2026-07-26,일,7,중앙선,107.2,기타,9.1,상,오전(06-12),0,0,1,0,0
2026-09-02,수,9,전라선,260.3,시멘트,12.5,상,새벽(00-06),0,0,0,0,0
2026-12-10,목,12,경부선,342.5,석탄,1.0,상,야간(18-24),0,0,0,1,0
2026-06-09,화,6,충북선,166.6,철강,15.2,하,오전(06-12),0,0,1,0,1
2026-02-28,토,2,중앙선,223.5,시멘트,18.5,상,야간(18-24),0,1,0,1,0
2026-10-31,토,10,경부선,354.6,컨테이너,9.7,상,새벽(00-06),0,0,0,0,0
2026-08-18,화,8,호남선,213.1,컨테이너,3.5,상,새벽(00-06),0,1,1,0,1
2026-09-13,일,9,중앙선,184.4,컨테이너,20.5,하,야간(18-24),0,0,0,0,0
2026-02-05,목,2,장항선,171.3,시멘트,13.3,하,오전(06-12),1,1,0,1,1
2026-04-25,토,4,중앙선,208.0,석탄,16.3,하,새벽(00-06),0,0,0,0,0
2026-10-08,목,10,호남선,243.1,시멘트,4.1,하,새벽(00-06),0,0,0,0,1
2026-10-31,토,10,경부선,316.1,철강,4.1,하,야간(18-24),0,0,0,0,0
2026-06-08,월,6,중앙선,245.0,컨테이너,14.5,하,새벽(00-06),0,0,1,0,0
2026-10-21,수,10,장항선,187.1,컨테이너,18.2,하,오전(06-12),0,1,0,0,0
2026-11-04,수,11,중앙선,206.6,철강,5.2,하,야간(18-24),0,0,0,0,0
2026-05-22,금,5,중앙선,277.5,철강,11.4,하,오후(12-18),0,0,0,0,0
2026-11-24,화,11,영동선,134.6,석탄,2.5,하,야간(18-24),0,0,0,0,0
2026-04-16,목,4,충북선,203.3,철강,7.8,하,오전(06-12),1,1,0,0,1
